app_date,category,result_date,status,Country
2022-06-02,SDS,2022-08-31,approved,India
2022-06-03,SDS,2022-08-31,approved,India
2022-06-03,SDS,2022-08-31,approved,India
2022-06-03,SDS,2022-08-31,approved,India
2022-06-03,SDS,2022-08-31,approved,India
2022-06-03,SDS,2022-08-31,approved,India
2022-06-03,SDS,2022-08-31,approved,India
2022-06-01,SDS,2022-08-31,approved,India
2022-06-03,SDS,2022-08-31,approved,India
2022-06-03,SDS,2022-08-31,approved,India
2022-05-04,SDS,2022-09-01,approved,India
2022-05-05,SDS,2022-09-01,approved,India
2022-05-09,SDS,2022-09-01,approved,India
2022-05-28,SDS,2022-09-01,approved,India
2022-05-30,SDS,2022-09-01,approved,India
2022-06-01,SDS,2022-09-01,approved,India
2022-06-02,SDS,2022-09-01,approved,India
2022-06-03,SDS,2022-09-01,approved,India
2022-06-03,SDS,2022-09-01,approved,India
2022-06-03,SDS,2022-09-01,approved,India
2022-06-03,SDS,2022-09-01,approved,India
2022-06-03,SDS,2022-09-01,approved,India
2022-06-03,SDS,2022-09-01,approved,India
2022-06-01,SDS,2022-09-01,approved,India
2022-06-03,SDS,2022-09-01,approved,India
2022-06-03,SDS,2022-09-01,approved,India
2022-05-31,SDS,2022-09-02,approved,India
2022-06-04,SDS,2022-09-02,approved,India
2022-06-04,SDS,2022-09-02,approved,India
2022-06-06,SDS,2022-09-02,approved,India
2022-06-06,SDS,2022-09-02,approved,India
2022-06-06,SDS,2022-09-02,approved,India
2022-06-07,SDS,2022-09-02,approved,India
2022-06-09,SDS,2022-09-02,approved,India
2022-06-09,SDS,2022-09-02,approved,India
2022-06-09,SDS,2022-09-02,approved,India
2022-06-06,SDS,2022-09-02,approved,India
2022-06-03,SDS,2022-09-02,approved,India
2022-06-07,SDS,2022-09-02,approved,India
2022-06-07,SDS,2022-09-02,approved,India
2022-06-09,SDS,2022-09-02,approved,India
2022-06-09,SDS,2022-09-02,approved,India
